帳戶,名稱,ticker,股數,成本均價,市價,市值,成本,損益,報酬率
A,國泰20年美債00687B,00687B.TW,11000,31.22,,,343420.0,,
A,中信美國公債20年00795B,00795B.TW,14000,29.89,,,418460.0,,
A,永豐20年美公債,00751B.TW,5000,25.08,,,125399.99999999999,,
A,統一美債20年,00727B.TW,5000,14.96,,,74800.0,,
A,群益ESG投等債20+,00858B.TW,8000,15.77,,,126160.0,,
A,台泥,1101.TW,19000,34.56,22.799999237060547,433199.9855041504,656640.0,-223440.0144958496,-34.02777998535721
A,佳世達,2352.TW,11000,53.78,23.649999618530273,260149.995803833,591580.0,-331430.004196167,-56.0245451496276
A,友達,2409.TW,9000,16.2,14.399999618530273,129599.99656677246,145800.0,-16200.003433227539,-11.111113465862509
A,康霈,6919.TW,300,102.36,81.19999694824219,24359.999084472656,30708.0,-6348.000915527344,-20.672140535128776
B,中信美國公債20年00795B(B),00795B.TW,58000,29.89,,,1733620.0,,
B,國泰20年美債00687B(B),00687B.TW,9000,19.57,,,176130.0,,
B,元大AAA至A公司債,00751B.TW,2000,34.26,,,68520.0,,
B,統一美債10年Aa-A,00853B.TW,1000,28.56,,,28560.0,,
B,國泰10Y+金融債,00933B.TW,2000,16.67,,,33340.0,,
